,dt,from_time,to_time,jaggedness,area,score
299,2022/12/25,00:00:00,23:59:59,0.0,0.0,0.0
298,2022/12/24,00:00:00,23:59:59,0.0,0.0,0.0
297,2022/12/23,00:00:00,23:59:59,0.0,0.0,0.0
296,2022/12/22,00:00:00,23:59:59,0.0,0.0,0.0
295,2022/12/21,00:00:00,23:59:59,0.0,0.0,0.0
294,2022/12/20,00:00:00,23:59:59,0.0,0.0,0.0
293,2022/12/19,00:00:00,23:59:59,0.0,0.0,0.0
292,2022/12/18,00:00:00,23:59:59,0.0,0.0,0.0
291,2022/12/17,00:00:00,23:59:59,0.0,0.0,0.0
290,2022/12/16,00:00:00,23:59:59,0.0,0.0,0.0
289,2022/12/15,00:00:00,23:59:59,0.0,0.0,0.0
306,2023/01/01,00:00:00,23:59:59,0.0,0.0,0.0
173,2022/08/21,00:00:00,23:59:59,0.0,0.0,0.0
132,2022/07/11,00:00:00,23:59:59,0.0,0.0,0.0
119,2022/06/28,00:00:00,23:59:59,0.0,0.0,0.0
67,2022/05/07,00:00:00,23:59:59,0.0,0.0,0.0
71,2022/05/11,00:00:00,23:59:59,0.0,0.0,0.0
111,2022/06/20,00:00:00,23:59:59,0.0,0.0,0.0
112,2022/06/21,00:00:00,23:59:59,0.0,0.0,0.0
113,2022/06/22,00:00:00,23:59:59,0.0,0.0,0.0
114,2022/06/23,00:00:00,23:59:59,0.0,0.0,0.0
115,2022/06/24,00:00:00,23:59:59,0.0,0.0,0.0
116,2022/06/25,00:00:00,23:59:59,0.0,0.0,0.0
117,2022/06/26,00:00:00,23:59:59,0.0,0.0,0.0
118,2022/06/27,00:00:00,23:59:59,0.0,0.0,0.0
120,2022/06/29,00:00:00,23:59:59,0.0,0.0,0.0
49,2022/04/19,00:00:00,23:59:59,0.0,0.0,0.0
121,2022/06/30,00:00:00,23:59:59,0.0,0.0,0.0
122,2022/07/01,00:00:00,23:59:59,0.0,0.0,0.0
123,2022/07/02,00:00:00,23:59:59,0.0,0.0,0.0
124,2022/07/03,00:00:00,23:59:59,0.0,0.0,0.0
125,2022/07/04,00:00:00,23:59:59,0.0,0.0,0.0
126,2022/07/05,00:00:00,23:59:59,0.0,0.0,0.0
127,2022/07/06,00:00:00,23:59:59,0.0,0.0,0.0
128,2022/07/07,00:00:00,23:59:59,0.0,0.0,0.0
129,2022/07/08,00:00:00,23:59:59,0.0,0.0,0.0
130,2022/07/09,00:00:00,23:59:59,0.0,0.0,0.0
65,2022/05/05,00:00:00,23:59:59,0.0,0.0,0.0
48,2022/04/18,00:00:00,23:59:59,0.0,0.0,0.0
210,2022/09/27,00:00:00,23:59:59,0.0,0.0,0.0
12,2022/03/13,00:00:00,23:59:59,0.0,0.0,0.0
2,2022/03/03,00:00:00,23:59:59,0.0,0.0,0.0
3,2022/03/04,00:00:00,23:59:59,0.0,0.0,0.0
4,2022/03/05,00:00:00,23:59:59,0.0,0.0,0.0
5,2022/03/06,00:00:00,23:59:59,0.0,0.0,0.0
6,2022/03/07,00:00:00,23:59:59,0.0,0.0,0.0
7,2022/03/08,00:00:00,23:59:59,0.0,0.0,0.0
8,2022/03/09,00:00:00,23:59:59,0.0,0.0,0.0
9,2022/03/10,00:00:00,23:59:59,0.0,0.0,0.0
10,2022/03/11,00:00:00,23:59:59,0.0,0.0,0.0
11,2022/03/12,00:00:00,23:59:59,0.0,0.0,0.0
13,2022/03/14,00:00:00,23:59:59,0.0,0.0,0.0
47,2022/04/17,00:00:00,23:59:59,0.0,0.0,0.0
14,2022/03/15,00:00:00,23:59:59,0.0,0.0,0.0
15,2022/03/16,00:00:00,23:59:59,0.0,0.0,0.0
39,2022/04/09,00:00:00,23:59:59,0.0,0.0,0.0
40,2022/04/10,00:00:00,23:59:59,0.0,0.0,0.0
41,2022/04/11,00:00:00,23:59:59,0.0,0.0,0.0
42,2022/04/12,00:00:00,23:59:59,0.0,0.0,0.0
43,2022/04/13,00:00:00,23:59:59,0.0,0.0,0.0
44,2022/04/14,00:00:00,23:59:59,0.0,0.0,0.0
45,2022/04/15,00:00:00,23:59:59,0.0,0.0,0.0
